// Item Produce Database
//
// Structure of Database:
// ID,ProduceItemID,ItemLV,RequireSkill,RequireSkillLv,MaterialID1,MaterialAmount1,......
//
// Notes:
// - ID is used to identify item order that will be used for overwriting on db/import.
//   Value is started from 0 until 269 (MAX_PRODUCE_RESOURCE-1). Use same ID on import file to overwrite original result & requirements
// - To remove entry by importing, put 0 on 'ProduceItemID'
// - If MaterialAmount is 0, the player must have that item in their inventory (i.e. guides).
//   For example, Mine Bottle requires 0x Marine Sphere Creation Guide (ID 7131).


55,1382,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
56,1426,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
57,1486,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
58,1546,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
59,1576,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
60,1577,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
61,1640,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
62,1641,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
63,1743,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
64,1826,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
65,1827,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
66,1927,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
67,1981,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
68,2002,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
69,13110,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
70,13178,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
71,13179,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
72,13307,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
73,13416,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
74,13417,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
75,13418,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
76,1187,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
77,1281,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
78,1282,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
79,13176,3,100,3,984,16,999,20,733,100,6408,13000,6409,2
80,13177,3,100,3,984,16,999,20,733,100,6408,13000,6409,2

81,1183,3,100,3,984,20,999,20,733,1,6408,3000
82,1184,3,100,3,984,20,999,20,733,1,6408,3000
83,1279,3,100,3,984,20,999,20,733,1,6408,3000
84,1280,3,100,3,984,20,999,20,733,1,6408,3000
85,1379,3,100,3,984,20,999,20,733,1,6408,3000
86,1380,3,100,3,984,20,999,20,733,1,6408,3000
87,1425,3,100,3,984,20,999,20,733,1,6408,3000
88,1482,3,100,3,984,20,999,20,733,1,6408,3000
89,1542,3,100,3,984,20,999,20,733,1,6408,3000
90,1543,3,100,3,984,20,999,20,733,1,6408,3000
91,1574,3,100,3,984,20,999,20,733,1,6408,3000
92,1575,3,100,3,984,20,999,20,733,1,6408,3000
93,1632,3,100,3,984,20,999,20,733,1,6408,3000
94,1633,3,100,3,984,20,999,20,733,1,6408,3000
95,1634,3,100,3,984,20,999,20,733,1,6408,3000
96,1635,3,100,3,984,20,999,20,733,1,6408,3000
97,1738,3,100,3,984,20,999,20,733,1,6408,3000
98,1739,3,100,3,984,20,999,20,733,1,6408,3000
99,1823,3,100,3,984,20,999,20,733,1,6408,3000
100,1824,3,100,3,984,20,999,20,733,1,6408,3000
101,1923,3,100,3,984,20,999,20,733,1,6408,3000
102,1924,3,100,3,984,20,999,20,733,1,6408,3000
103,1977,3,100,3,984,20,999,20,733,1,6408,3000
104,1978,3,100,3,984,20,999,20,733,1,6408,3000
105,13036,3,100,3,984,20,999,20,733,1,6408,3000
106,13037,3,100,3,984,20,999,20,733,1,6408,3000
107,13305,3,100,3,984,20,999,20,733,1,6408,3000
108,13306,3,100,3,984,20,999,20,733,1,6408,3000
109,13410,3,100,3,984,20,999,20,733,1,6408,3000
110,13411,3,100,3,984,20,999,20,733,1,6408,3000


